adult,belongs_to_collection,budget,genres,homepage,tmdb_id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,[],,165066,tt0216707,en,Dil Kya Kare,"Anand Kishore, his wife, Kavita  and only child, a daughter, Neha , live a happy and serene life in Delhi, India. Their lives are turned upside down when Kavita finds out that Neha is being stalked by a woman named Nandita Rai",0.036471,/61k3JXpqxfjcltYEgzdotOWaUo.jpg,[],[],1999-01-01,0,158.0,[],Released,,Dil Kya Kare,False,5.0,1
False,,30000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",http://www.tigger.com,15655,tt0220099,en,The Tigger Movie,"As it happens, everybody - Pooh, Piglet, Eeyore, Roo, Rabbit, Owl - is busy preparing a suitable winter home for Eeyore. When everything they do seems to get undone by Tigger's exuberant bouncing, Rabbit suggest Tigger go outside and find other tiggers to bounce with - a notion Tigger finds ridiculous because, after all, he's ""the onliest one"" Or is he?",7.023414,/lxuiGvLHIL1ZyePP7bn6FcKj0Mr.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-02-11,45554533,77.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Tigger Movie,False,6.3,146
False,,0,"[{'id': 18, 'name': 'Drama'}]",,129820,tt0061536,hu,Csend és kiáltás,"Miklós Jancsó's Silence and Cry is set during a turbulent era of disquiet, fear, persecution and terror, which permeates every corner of post-WWI Hungarian society. In 1919, after just a few months of communist rule the Hungarian Republic of Councils falls victim to a nationalist counter-revolution. Admiral Horthy, leader of the nationalist far right movement, becomes the self-proclaimed regent of Hungary, and assumes power as the legal Head of State. Soldiers of the short-lived Hungarian Red Army are now on the run from relentless secret policemen and patrol units of the nationalist Royal Gendarme. If caught, ex-Red Army soldiers are executed without mercy or proper trial. István Cserzi, a former soldier of the Red Army has fled to the Great Hungarian Plains and has taken refuge on a farm, which is run by two sympathetic women. Due to the generosity of these women and a former childhood pal...",0.476432,/9iUD2AAPYKWkbZ2werGX31kExJb.jpg,"[{'name': 'Mafilm', 'id': 8100}]","[{'iso_3166_1': 'HU', 'name': 'Hungary'}]",1968-06-12,0,73.0,"[{'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,,Silence and Cry,False,6.8,5
False,,10000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",,50204,tt1320239,en,Burke & Hare,"Two 19th-century opportunists (Simon Pegg, Andy Serkis) become serial killers so that they can maintain their profitable business supplying cadavers to an anatomist (Tom Wilkinson).",7.787593,/gcSbKn6T4JGnaotGD91OMysDyEU.jpg,"[{'name': 'Ealing Studios', 'id': 2650}, {'name': 'Fragile Films', 'id': 2651}, {'name': 'Quickfire Films', 'id': 4186}, {'name': 'Prescience', 'id': 6901}, {'name': 'Aegis Film Fund', 'id': 7309}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2010-10-29,4349187,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,No Job Too Small. No Body Too Big. No Questions Asked.,Burke & Hare,False,6.1,151
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,42231,tt0076941,en,You Light Up My Life,"Laurie has been in show business since she was a child. Her dream is to be a singer, songwriter and actress. Her father wants her to be a comedian like him and Laurie only tries because it pleases her father. But she is a lousy comedian. She auditions for everything and is engaged to Ken, but Ken does not understand her needs. She has a one night stand with Chris, only to later find that he is a director. She has many emotions that have not yet been addressed and she must face them before she can get on with her life.",0.411176,/lgzmeKvXyda0JyuBBxy6jzoR0zC.jpg,"[{'name': 'Columbia Pictures', 'id': 5}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1977-08-31,0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Sometimes when you reach for a dream you have to leave something behind.,You Light Up My Life,False,5.3,6
False,,0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,36922,tt0044170,de,Der Untertan,"Diederich Heßling is scared of everything and everyone. But as he grows up, he comes to realize that he has to offer his services to the powers-that-be if he wants to wield power himself. His life motto now runs: bow to those at the top and tread on those below. In this way, he always succeeds: as a student in a duel-fighting student fraternity and as a businessman in a paper factory. He cajoles the obese district administrative president Von Wulkow and wins his favor. He slanders his financial rivals and hatches a plot with the social democrats in the town council. On his honeymoon with his rich wife Guste, he finally finds a chance to do his beloved Kaiser a favor. And when a memorial to the Kaiser is unveiled in the town where Diederich lives and works, he delivers the address. He stands behind the lectern in the pouring rain, saluting his Kaiser. The crowd is dispersed. Everything is laid in ruins...",0.420539,/sh4Vj2csTcHaTb1amtchb2EeRy8.jpg,"[{'name': 'Deutsche Film (DEFA)', 'id': 12364}]","[{'iso_3166_1': 'XG', 'name': 'East Germany'}]",1951-08-31,0,109.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,The Kaiser's Lackey,False,6.0,6
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,2748,tt0046511,it,Viaggio in Italia,This deceptively simple tale of a bored English couple (George Sanders and Ingrid Bergman) travelling to Italy to find a buyer for a house inherited from an uncle is transformed by Roberto Rossellini into a passionate story of cruelty and cynicism as their marriage disintegrates around them.,4.092146,/tjli2Rjwkn8fivuynxwthnnEzeo.jpg,"[{'name': 'Sveva Film', 'id': 1210}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'FR', 'name': 'France'}]",1954-09-07,0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Journey to Italy,False,7.3,50
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",,139170,tt0063237,en,The Long Day's Dying,Three British soldiers and their German captive trek through the European countryside.,0.291201,/byd8xlknQaf79OvvEUurQezHDcG.jpg,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1968-05-28,0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Long Day's Dying,False,7.3,4
False,,325000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",http://www.zerophiliamovie.com/,30548,tt0421090,en,Zerophillia,"In this provocative teen comedy, Luke, a young man insecure about his masculinity discovers he's a Zerophiliac, with the ability to change sex at will. Join Luke as he journeys into the extraordinary world of Zerophilia where so many crazy questions arise, only one question matters: ""Whom do you love?""",1.246805,/b8hjffkgD8MkvuY1aDPxzOPoigz.jpg,"[{'name': 'TLA Releasing', 'id': 328}, {'name': 'Microangelo Entertainment', 'id': 5060}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-10-13,0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Zerophillia,False,5.1,15
False,,700000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.mamaboythemovie.com/,388256,tt4818168,en,Mamaboy,"A high school student must hide the fact that he has become pregnant from his family, friends and the school faculty!",1.061991,/ocsSTZEAbNuz68yqsfbOFlas9N4.jpg,"[{'name': 'My Hero Productions', 'id': 90139}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-05-23,0,124.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,High school just got weirder.,Mamaboy,False,1.0,1
False,,4500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.theromanticsmovie.com/,41556,tt1403988,en,The Romantics,Seven close friends reunite for the wedding of two of their friends. Problems arise because the bride and the maid of honor have had a long rivalry over the groom.,8.786269,/jTroWB2yGrX3XeQETqwUVtWUdQw.jpg,"[{'name': '10th Hole Productions', 'id': 6691}, {'name': 'Benaroya Pictures', 'id': 6692}, {'name': 'Four of a Kind Productions', 'id': 6693}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-09-10,123820,95.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The Romantics,False,4.8,83
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,396987,tt0030428,ru,Медведь,,0.007071,/ldafhNLsn6pRPcQjl1ozjrwZzXQ.jpg,[],[],1938-06-11,0,,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Медведь,False,0.0,0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",,56986,tt1582519,te,Khaleja,"The story revolves around a remote village in Andhra Pradesh plagued by a strange disease killing a lot of people. The soothsayer of the village predicts that God would come to their village for rescue. Meanwhile, Raju (Mahesh Babu) a cab driver in Hyderabad goes to Rajasthan to handover an insurance cheque to a man's family who dies in his car. In a strange situation, Raju meets a man from the village and gets to know about their problem. Soon Raju realizes he is none other than the God-sent, the soothsayer predicted, and the rest of the story is all about how Raju takes up the responsibility to rescue the village from the clutches of evil.",0.368497,/rsQbJT4vjyQe6Mpry1i8Tnf86wp.jpg,[],"[{'iso_3166_1': 'IN', 'name': 'India'}]",2010-10-07,0,170.0,"[{'iso_639_1': 'te', 'name': 'తెలుగు'}]",Released,,Khaleja,False,5.9,7
False,,8500000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",,14570,tt0089243,en,Gymkata,"Johnathan Cabot is a champion gymnast. In the tiny, yet savage, country of Parmistan, there is a perfect spot for a ""star wars"" site. For the US to get this site, they must compete in the brutal ""Game"". The government calls on Cabot, the son of a former operative, to win the game. Cabot must combine his gymnastics skills of the west with fighting secrets of the east and form GYMKATA!",1.542843,/y8RhLH1TTJppX0sr4pHGLdKFbc9.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'JP', 'name': 'Japan'}]",1985-05-03,5730596,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"The skill of gymnastics, the kill of karate.",Gymkata,False,4.7,14
False,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",http://pdl.warnerbros.com/wbol/de/movies/8mileshigh/flash/teaser.html,1244,tt0764639,de,Das wilde Leben,"Achim Bornhak's movie focuses on the restless life of Uschi Obermaier, the icon of the 1968 movement in Germany and groupie. At the age of 16, Uschi is bored by her job in a photo lab, but soon becomes the ""it girl"" of Munich's club scene. When she gets to know Rainer Langhans, they move to Berlin and live in ""Kommune 1"", the first politically-motivated commune in Germany. While the other occupants claim she isn't political enough, Uschi just wants to have fun, works as fashion model and leads international music stars in temptation.",0.851733,/b2GT0in1R0GU3a34CN4YFztJh4X.jpg,"[{'name': 'Babelsberg Film GmbH', 'id': 424}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2007-02-01,0,114.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Eight Miles High,False,6.9,8
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",http://www.listentoyourheartfilm.com/,48373,tt1274296,en,Listen to Your Heart,"Danny Foster doesn't have much: an apartment as small as his paychecks, no family, and a struggling music career. Yet for him, ""every day is a great day to be alive,"" an attitude he gained from his mother's unwavering optimism during her losing battle with cancer. It's love at first sight when Danny meets Ariana, a wealthy girl from Greenwich, CT who tragically cannot hear the music she inspires him to write. Ariana, hearing impaired since childhood, is torn between hanging onto the shelter her controlling mother provides and fighting for a love that, if given the chance, might just change her life",2.984894,/1MATgoCyJKbnUM06dYPQ2fOGeoI.jpg,"[{'name': 'rebel one pictures', 'id': 86758}, {'name': 'wishing well pictures', 'id': 86759}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-08-14,0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,One song can change your life.,Listen to Your Heart,False,7.5,38
False,"{'id': 415931, 'name': 'The Bowery Boys', 'poster_path': '/q6sA4bzMT9cK7EEmXYwt7PNrL5h.jpg', 'backdrop_path': '/foe3kuiJmg5AklhtD3skWbaTMf2.jpg'}",0,"[{'id': 35, 'name': 'Comedy'}]",,184328,tt0043071,en,Triple Trouble,Slip and the gang (Bowery Boys) take the rap for a robbery they did not commit.,0.098143,/5ln7iAnT7nF83MkuH2CEiHaP0S0.jpg,"[{'name': 'Monogram Pictures', 'id': 4395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1950-08-13,0,67.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"THEY'VE GOT THOSE ""JAIL-BOID"" BLUES! Leo talked them into the big house...but even Huntz can't clown his way out!",Triple Trouble,False,6.0,1
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,13163,tt0218864,en,Buying the Cow,A commitment-averse man frantically hits the dating scene after his girlfriend starts pressuring him to pop the question.,7.922964,/6IO4E9s7UxCpunU5i5sPaoDF5hL.jpg,"[{'name': 'Destination Films', 'id': 769}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-01-14,0,88.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Why buy the cow, when you can get the milk for free?",Buying the Cow,False,5.6,27
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,30124,tt1056441,en,Tru Loved,"Recently relocated from San Francisco to conservative suburbia by her lesbian mothers, Tru struggles like all teens to fit in and find love, but her quest is complicated by sexual politics, closed minds, and closeted friends as she seeks to establish her school's first Gay-Straight Alliance.",0.447749,/yc0G4MTuLjTTS5aehLHYzqYdXGL.jpg,"[{'name': 'BrownBag Productions (II)', 'id': 5020}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-02-27,0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Tru Loved,False,5.5,11
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,86600,tt0071663,en,The Internecine Project,Former secret agent Robert Elliot (Coburn) will be promoted to government advisor. In order to make sure no-one will ever know about his dirty past.,1.672384,/mgSzq2SswnyqmfdRwkjtweUEBCM.jpg,[],[],1974-07-24,0,89.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Who will be alive when the hands stop?,The Internecine Project,False,7.8,4
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",,53651,tt0044683,en,Hangman's Knot,"In 1865, a troop of Confederate soldiers led by Major Matt Stewart attack the wagon of gold escorted by Union cavalry and the soldiers are killed. The only wounded survivor tells that the war ended one month ago, and the group decides to take the gold and meet their liaison that knew that the war ended but did not inform the troop. The harsh Rolph Bainter kills the greedy man and the soldiers flee in his wagon driven by Major Stewart. When they meet a posse chasing them, Stewart gives wrong information to misguide the group; however, they have an accident with the wagon and lose the horses. They decide to stop a stagecoach and force the driver to transport them, but the posse returns and they are trapped in the station with the passenger. They realize that the men are not deputies and have no intention to bring them to justice but take the stolen gold.",2.893266,/ifpv8Tyxg4h33HrkkeDSpBr37ki.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1952-11-15,0,81.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It Happened When A Killer With A Rope Ruled Nevada!,Hangman's Knot,False,5.7,7
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",,76397,tt0083365,en,Zoot Suit,"Part fact and part fiction, Zoot Suit is the film version of Luis Valdez's critically acclaimed play, based on the actual Sleepy Lagoon murder case and the zoot suit riots of 1940s Los Angeles. Henry Reyna is the leader of a group of Mexican-Americans being sent to San Quentin without substantial evidence for the death of a man at Sleepy Lagoon. As part of the defense committee, Alice Bloomfield and George Shearer fight the blatant miscarriage of justice for the freedom of Henry and his friends.",1.128317,/itSXh6MxBZWvQ7xhSxusk2RwjfM.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1981-10-02,0,103.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,An american original.,Zoot Suit,False,6.9,4
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,77198,tt0024916,en,Broadway Bill,"Tycoon J.L. Higgins controls his whole family, but one of his sons- in-law, Dan Brooks and his daughter Alice are fed up with that. Brooks quits his job as manager of J.L.'s paper box factory and devotes his life to his racing horse Broadway Bill, but his bank- roll is thin and the luck is against him, he is arrested because of $150 he owes somebody for horse food, but suddenly a planed fraud by somebody else seems to offer him a chance...",0.521533,/dDWQjYnnxNTsU99mpjr4CRPOry7.jpg,"[{'name': 'Columbia Pictures', 'id': 5}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1934-11-30,0,104.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,The Comedy Successor to 'It Happened One Night',Broadway Bill,False,4.6,5
False,,0,"[{'id': 18, 'name': 'Drama'}]",,179812,tt2371287,en,Camp,12-year-old Eli finds himself at summer CAMP,0.647811,/6xvHITv3uHxuHRsadsoRELePBpl.jpg,[],[],2013-02-22,0,111.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Hope is found in unexpected places.,Camp,False,7.5,4
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",,107548,tt0256692,hi,Chori Chori Chupke Chupke,"Raj and Priya Malhotra have been married for several years, and live a wealthy and fairly harmonious lifestyle. They have one problem though, Priya cannot conceive. When efforts to adopt a child fail, they decide to use Raj's sperm on another woman, who is willing to carry their child. They pick Madhubala, a fairly decent, middle-class young woman, who is in need of money. The process is set under way, and Madhu soon gets pregnant. Raj and Priya manage to convince their respective families that Priya is expecting, but the true challenge they must face when certain Hindu prayers and rituals are performed on the mother-to-be. Will they come clean and tell their family about Madhu?",0.628061,/lwanyGNvbpMO7AzRj18qhO46bcs.jpg,[],[],2001-03-09,0,155.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Chori Chori Chupke Chupke,False,5.5,16
False,,0,[],,186766,tt0044992,en,Olympia 52,"Olympia 52 is a 1952 French documentary film about the 1952 Summer Olympics in Helsinki, Finland. Olympia 52 was produced by Peuple et Culture, a nonprofit organization, and it was the first feature-length work directed by the French filmmaker Chris Marker, who also co-wrote the narrative and served as one of the production’s four cinematographers.",0.001187,/k66EfKoSrndhfPW8l24gCPUWhlS.jpg,[],[],1952-07-10,0,82.0,[],Released,,Olympia 52,False,0.0,0
False,,100000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",http://thegallowsmovie.com/,299245,tt2309260,en,The Gallows,"20 years after a horrific accident during a small town school play, students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone.",7.51505,/4oBk2DsYRO0VuloOX52ROmz2QhU.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Blumhouse Productions', 'id': 3172}, {'name': 'Management 360', 'id': 4220}, {'name': 'Tremendum Pictures', 'id': 69581}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-07-10,42664410,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Every School Has Its Spirit,The Gallows,False,4.9,370
False,,0,[],,126148,tt0396705,en,Lightning in a Bottle,"On February 7th, 2003, renowned artists across multiple music genres and generations commandeered the stage at New York City's Radio City Music Hall to pay tribute to their common heritage and passion - the blues. Shared with thousands of fans in attendance, legendary performers from roots, rock, jazz and rap joined forces for a once-in-a-lifetime ""Salute To The Blues"" benefit concert whose proceeds went to musical education.",0.161543,/w029ZDkxyi8Lf0Hps3loJ8857Qt.jpg,[],[],2004-02-12,0,103.0,[],Released,A one night history of the blues,Lightning in a Bottle,False,9.0,1
False,"{'id': 266731, 'name': 'Cat Stevens y Hutch Bessy Trilogy', 'poster_path': '/uEzdkj4KMmCpRO7re2aJVfbmPh5.jpg', 'backdrop_path': '/wwTxNzXfZSvqi2cLOAaEEXJDozW.jpg'}",0,"[{'id': 35, 'name': 'Comedy'}, {'id': 37, 'name': 'Western'}]",,12529,tt0064175,it,La collina degli stivali,Victims of oppressive town boss Honey are offered help by an unusual alliance of gunmen and circus performers,6.074748,/9gnmBJi9ioGo1WeQP6Hii02u9Aq.jpg,"[{'name': 'San Marco S.P.A./Crono S.P.A', 'id': 11893}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1969-12-20,0,97.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Boot Hill,False,5.7,23
False,,1135654,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",,28963,tt0015400,en,The Thief of Bagdad,A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.,3.878515,/8t4CJ591N2FATf2yUiQNQk9p0tB.jpg,"[{'name': 'Douglas Fairbanks Pictures', 'id': 13399}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1924-03-18,1213880,149.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,"""Happiness Must Be Earned""",The Thief of Bagdad,False,7.4,37
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,40344,tt0134304,en,Balloon Farm,"As soon as Harvey S. Potter descends upon a drought-stricken farmland, he begins to grow a mysterious but beautiful crop of balloons. Mystified by the new resident's abilities, the people of the town are mesmerized by Potter, who immediately becomes the best thing to happen to the dejected area in a long time. The happiness doesn't last long, however, when talk begins to surface about Potter's true identity.",0.367452,/6CxEDv29kHEGRFxXl1nQVFBQ1ea.jpg,[],[],1999-03-28,0,92.0,[],Released,,Balloon Farm,False,3.5,4
False,,176000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,29286,tt0033397,en,The Black Cat,"Greedy heirs wait in a mansion for a rich cat lover to die, only to learn her cats come first.",0.935686,/2H7bQl1VS0x9xuwBxIICVy595H.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1941-05-02,0,70.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Even Ladd is scared!,The Black Cat,False,6.4,5
False,,0,[],,288168,tt2069830,fr,L'instant et la patience,The daily life of a group of women in an old age home.,0.001178,,[],"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1994-01-01,0,52.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The time and patience,False,0.0,0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.williamgreaves.com/symbio.htm,44783,tt0296881,en,Symbiopsychotaxiplasm: Take One,"In Manhattan's Central Park, a film crew directed by William Greaves is shooting a screen test with various pairs of actors. It's a confrontation between a couple: he demands to know what's wrong, she challenges his sexual orientation. Cameras shoot the exchange, and another camera records Greaves and his crew. Sometimes we watch the crew discussing this scene, its language, and the process of making a movie. Is there such a thing as natural language? Are all things related to sex? The camera records distractions - a woman rides horseback past them; a garrulous homeless vet who sleeps in the park chats them up. What's the nature of making a movie?",0.697838,/a8INKiTZWT6DBkpIRVtv85tKunh.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1968-10-28,0,75.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Symbiopsychotaxiplasm: Take One,False,7.8,6
False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 37, 'name': 'Western'}, {'id': 28, 'name': 'Action'}]",,77165,tt0064273,it,E Dio disse a Caino…,"An innocent man sentenced to ten years in prison for a crime he did not commit, is released from jail, promising to seek revenge on the guilty.",0.753915,/dyHAg9SeMW1KoemS8ZoPMkFlcdj.jpg,"[{'name': 'D.C. 7 Produzione', 'id': 11638}, {'name': 'Peter Carsten Produktion', 'id': 11639}, {'name': 'Produziones DC 7', 'id': 80975}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",1970-02-05,0,93.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,The darkest western ever made,And God Said to Cain,False,5.1,5
False,,0,"[{'id': 18, 'name': 'Drama'}]",,392788,tt4699444,fr,Voir du pays,"At the end of their tour of duty in Afghanistan, two young military women, Aurore and Marine, are given three days of decompression leave with their unit at a five-star resort in Cyprus, among tourists. But it's not that easy to forget the war and leave the violence behind.",2.524041,/sni2LE3RQjKJ2iMmccLgYo0KCnW.jpg,"[{'name': 'ARTE France Cinéma', 'id': 94}, {'name': 'Archipel 35', 'id': 2695}, {'name': 'Blonde Audiovisual Productions', 'id': 51401}]","[{'iso_3166_1': 'GR', 'name': 'Greece'}, {'iso_3166_1': 'FR', 'name': 'France'}]",2016-09-07,0,102.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'el', 'name': 'ελληνικά'}]",Released,,The Stopover,False,6.0,6
False,,0,"[{'id': 18, 'name': 'Drama'}]",,49104,tt0115895,ar,سجل اختفاء,"Chronicle of a Disappearance unfolds in a series of seemingly unconnected cinematic tableaux, each of them focused on incidents or characters which seldom reappear later in the film. Among the many unrelated scenes, there is a Palestinian actress struggling to find an apartment in West Jerusalem, the owner of the Holy Land souvenir shop preparing merchandise for incoming Japanese tourists, a group of old women gossiping about their relatives, and an Israeli police van which screeches to a halt so several heavily armed soldiers can get off the car and urinate.",0.361472,/1F3cyDFl14E1epelr6KmuPaPHck.jpg,"[{'name': 'MEDIA Programme of the European Union', 'id': 851}, {'name': 'Centre National de la Cinématographie (CNC)', 'id': 18367}, {'name': 'Independent Television Service (ITVS)', 'id': 46234}]","[{'iso_3166_1': 'PS', 'name': 'Palestinian Territory'}, {'iso_3166_1': 'IL', 'name': 'Israel'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-01-01,0,88.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}]",Released,,Chronicle of a Disappearance,False,6.0,2
